id,symbol,autoDeposit,maintMarginReq,riskLimit,realLeverage,crossMode,delevPercentage,openingTimestamp,currentTimestamp,currentQty,currentCost,currentComm,unrealisedCost,realisedGrossCost,realisedCost,isOpen,markPrice,markValue,posCost,posCross,posInit,posComm,posLoss,posMargin,posMaint,maintMargin,realisedGrossPnl,realisedPnl,unrealisedPnl,unrealisedPnlPcnt,unrealisedRoePcnt,entryPrice,liquidationPrice,bankruptPrice,settleCurrency,isInverse,exitPrice,totalProfit,maxProfit,bot
1641606298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18360.6,18360.6,0.43720919157042504,-1,41995.0,51995.0,-1,USDT,False,41761.0,1.5577254830287477,0.5062650315513751,JesusShort
1641626098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41907.0,31907.0,-1,USDT,False,-1,0,-1000,JesusLong
1641626098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1728.84,-1728.84,-0.04125420574128427,-1,41907.0,31907.0,-1,USDT,False,41940.0,1.5164712772874633,0.34770229317297824,JesusLong
1641642298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41879.0,31879.0,-1,USDT,False,-1,0,-1000,JesusLong
1641642298500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-6425.48,-6425.48,-0.15342964254160796,-1,41879.0,31879.0,-1,USDT,False,41865.0,1.3630416347458554,0.0805778552496478,JesusLong
1641656698500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41678.0,31678.0,-1,USDT,False,-1,0,-1000,JesusLong
1641656698500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-55201.35999999999,-55201.35999999999,-1.3244723835116847,-1,41678.0,31678.0,-1,USDT,False,41176.0,0.038569251234170654,-0.09360717884735352,JesusLong
1641667498500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41006.0,31006.0,-1,USDT,False,-1,0,-1000,JesusLong
1641667498500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4420.719999999999,-4420.719999999999,-0.10780666243964297,-1,41006.0,31006.0,-1,USDT,False,41011.0,-0.06923741120547232,-0.10780666243964297,JesusLong
1641689998500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41786.0,31786.0,-1,USDT,False,-1,0,-1000,JesusLong
